DATE,CLOSE_CO1,CLOSE_CO3,CLOSE_CO6,HIGH_CO1,HIGH_CO3,HIGH_CO6,LOW_CO1,LOW_CO3,LOW_CO6
24.06.1988,15.65,NA,NA,15.66,NA,NA,15.75,NA,NA
27.06.1988,15.1,NA,NA,15.1,NA,NA,15.46,NA,NA
28.06.1988,15.27,NA,NA,15.36,NA,NA,15.36,NA,NA
29.06.1988,15.47,NA,NA,15.47,NA,NA,15.47,NA,NA
30.06.1988,14.85,NA,NA,14.9,NA,NA,14.9,NA,NA
01.07.1988,14.6,NA,NA,14.6,NA,NA,14.85,NA,NA
04.07.1988,14.35,NA,NA,14.5,NA,NA,14.5,NA,NA
05.07.1988,14.3,NA,NA,14.58,NA,NA,NA,NA,NA
06.07.1988,14.68,NA,NA,14.68,NA,NA,14.68,NA,NA
07.07.1988,15.45,NA,NA,15.45,NA,NA,NA,NA,NA
08.07.1988,15.05,NA,NA,15.12,NA,NA,15.12,NA,NA
11.07.1988,14.5,NA,NA,14.7,NA,NA,14.7,NA,NA
12.07.1988,14.1,NA,NA,15.12,NA,NA,15.13,NA,NA
13.07.1988,14.17,NA,NA,14.17,NA,NA,14.17,NA,NA
14.07.1988,14.06,NA,NA,14.06,NA,NA,14.06,NA,NA
15.07.1988,14.18,NA,NA,14.4,NA,NA,14,NA,NA
18.07.1988,14.8,NA,NA,14.85,NA,NA,14.6,NA,NA
19.07.1988,15.08,NA,NA,15.25,NA,NA,15.37,NA,NA
20.07.1988,15.13,NA,NA,15.13,NA,NA,NA,NA,NA
21.07.1988,15.45,NA,NA,15.62,NA,NA,15.58,NA,NA
22.07.1988,15.71,NA,NA,15.71,NA,NA,15.67,NA,NA
25.07.1988,15.69,NA,NA,15.9,NA,NA,15.77,NA,NA
26.07.1988,15.32,NA,NA,15.52,NA,NA,15.32,NA,NA
27.07.1988,15.42,NA,NA,15.44,NA,NA,15.42,NA,NA
28.07.1988,15.67,NA,NA,15.71,NA,NA,15.63,NA,NA
29.07.1988,15.7,NA,NA,15.7,NA,NA,15.68,NA,NA
01.08.1988,15.56,NA,NA,15.64,NA,NA,15.6,NA,NA
02.08.1988,15.38,NA,NA,15.42,NA,NA,15.5,NA,NA
03.08.1988,15,NA,NA,15.25,NA,NA,15.25,NA,NA
04.08.1988,14.48,NA,NA,14.6,NA,NA,14.67,NA,NA
05.08.1988,14.63,NA,NA,14.75,NA,NA,14.82,NA,NA
08.08.1988,15.3,NA,NA,15.35,NA,NA,15.42,NA,NA
09.08.1988,15.34,NA,NA,15.45,NA,NA,15.45,NA,NA
10.08.1988,15.08,NA,NA,15.08,NA,NA,15.07,NA,NA
11.08.1988,15.09,NA,NA,15.15,NA,NA,NA,NA,NA
12.08.1988,15.2,NA,NA,15.25,NA,NA,NA,NA,NA
15.08.1988,14.93,NA,NA,15,NA,NA,15,NA,NA
16.08.1988,15.02,NA,NA,15.15,NA,NA,15.1,NA,NA
17.08.1988,14.95,NA,NA,15,NA,NA,15.1,NA,NA
18.08.1988,15.03,NA,NA,15.09,NA,NA,15.2,NA,NA
19.08.1988,15.1,NA,NA,15.18,NA,NA,15.28,NA,NA
22.08.1988,15.2,NA,NA,15.28,NA,NA,15.36,NA,NA
23.08.1988,14.99,NA,NA,15.19,NA,NA,15.26,NA,NA
24.08.1988,15.09,NA,NA,15.12,NA,NA,15.24,NA,NA
25.08.1988,14.88,NA,NA,15.01,NA,NA,15.02,NA,NA
26.08.1988,14.7,14.92,NA,14.8,14.92,NA,14.89,14.92,NA
30.08.1988,14.65,14.83,NA,14.65,14.83,NA,14.77,14.82,NA
31.08.1988,14.6,15,NA,14.8,15,NA,14.88,15,NA
01.09.1988,14.4,14.65,NA,14.5,14.65,NA,14.62,14.65,NA
02.09.1988,14.21,14.3,NA,14.36,14.3,NA,14.48,14.3,NA
05.09.1988,13.99,14.15,NA,13.99,14.15,NA,14.07,14.13,NA
06.09.1988,13.78,14.08,NA,13.92,14.08,NA,14,13.99,NA
07.09.1988,13.5,13.77,NA,13.53,13.77,NA,13.65,13.77,NA
08.09.1988,13.59,13.7,NA,13.6,13.78,NA,13.68,13.7,NA
09.09.1988,13.72,13.86,NA,13.75,13.95,NA,13.87,13.81,NA
12.09.1988,12.99,NA,NA,13.2,NA,NA,13.2,NA,NA
13.09.1988,13.6,NA,NA,13.75,NA,NA,13.75,NA,NA
14.09.1988,14.4,NA,NA,14.44,NA,NA,14.15,NA,NA
15.09.1988,13.95,NA,NA,14.25,NA,NA,14.3,NA,NA
16.09.1988,13.74,NA,NA,13.87,NA,NA,13.94,NA,NA
19.09.1988,13.46,NA,NA,13.45,NA,NA,13.45,NA,NA
20.09.1988,13.6,NA,NA,13.7,NA,NA,13.78,NA,NA
21.09.1988,13.52,NA,NA,13.63,NA,NA,13.68,NA,NA
22.09.1988,13.58,NA,NA,13.6,NA,NA,13.7,NA,NA
23.09.1988,13.52,NA,NA,13.7,NA,NA,13.79,NA,NA
26.09.1988,13.43,NA,NA,13.54,NA,NA,13.6,NA,NA
27.09.1988,12.98,NA,NA,13.03,NA,NA,13.12,NA,NA
28.09.1988,12.97,NA,NA,13.05,NA,NA,13.15,NA,NA
29.09.1988,12.73,NA,NA,12.75,NA,NA,12.9,NA,NA
30.09.1988,12.24,NA,NA,12.7,NA,NA,12.8,NA,NA
03.10.1988,11.85,NA,NA,11.85,NA,NA,12.01,NA,NA
04.10.1988,11.78,NA,NA,11.78,NA,NA,11.95,NA,NA
05.10.1988,11.35,11.6,NA,11.5,11.67,NA,11.6,11.6,NA
06.10.1988,11.47,11.67,NA,11.64,11.67,NA,11.8,11.67,NA
07.10.1988,11.49,11.65,NA,11.59,11.65,NA,11.75,11.65,NA
10.10.1988,12,12.25,NA,12,12.25,NA,12.23,12.25,NA
11.10.1988,12.58,NA,NA,12.81,NA,NA,12.81,NA,NA
12.10.1988,12.52,NA,NA,12.52,NA,NA,12.52,NA,NA
13.10.1988,12.71,NA,NA,12.72,NA,NA,12.88,NA,NA
14.10.1988,13.11,NA,NA,13.15,NA,NA,13.15,NA,NA
17.10.1988,13.7,NA,NA,13.95,NA,NA,13.75,NA,NA
18.10.1988,13.23,NA,NA,13.5,NA,NA,13.48,NA,NA
19.10.1988,13.49,NA,NA,13.49,NA,NA,13.65,NA,NA
20.10.1988,13.74,NA,NA,13.75,NA,NA,13.82,NA,NA
21.10.1988,13.55,NA,NA,13.85,NA,NA,13.82,NA,NA
24.10.1988,12.4,NA,NA,12.6,NA,NA,12.62,NA,NA
25.10.1988,12.3,NA,NA,12.35,NA,NA,12.52,NA,NA
26.10.1988,12.33,NA,NA,12.63,NA,NA,12.8,NA,NA
27.10.1988,12.5,NA,NA,12.5,NA,NA,12.7,NA,NA
28.10.1988,12.82,NA,NA,12.86,NA,NA,13.03,NA,NA
31.10.1988,12.74,NA,NA,12.85,NA,NA,12.89,NA,NA
01.11.1988,12.44,NA,NA,12.52,NA,NA,12.68,NA,NA
02.11.1988,12.56,NA,NA,12.62,NA,NA,12.77,NA,NA
03.11.1988,12.75,NA,NA,12.8,NA,NA,12.98,NA,NA
04.11.1988,12.95,NA,NA,13,NA,NA,13.15,NA,NA
07.11.1988,12.96,13.12,NA,13.13,13.12,NA,13.27,13.12,NA
08.11.1988,12.82,13.06,NA,12.98,13.06,NA,13.1,13.06,NA
09.11.1988,12.8,12.96,NA,12.8,12.96,NA,13,12.96,NA
10.11.1988,12.95,13.28,NA,13.01,13.28,NA,13.17,13.28,NA
11.11.1988,13.26,NA,NA,13.26,NA,NA,13.26,NA,NA
14.11.1988,13.25,NA,NA,13.3,NA,NA,13.32,NA,NA
15.11.1988,13.11,NA,NA,13.24,NA,NA,13.19,NA,NA
16.11.1988,12.78,NA,NA,13.05,NA,NA,12.94,NA,NA
17.11.1988,12.26,NA,NA,12.5,NA,NA,12.43,NA,NA
18.11.1988,12.04,NA,NA,12.15,NA,NA,12.1,NA,NA
21.11.1988,12.03,NA,NA,12.05,NA,NA,12.08,NA,NA
22.11.1988,12.8,NA,NA,12.9,NA,NA,12.78,NA,NA
23.11.1988,13.2,NA,NA,13.55,NA,NA,13.48,NA,NA
24.11.1988,12.77,NA,NA,12.88,NA,NA,12.87,NA,NA
25.11.1988,14.48,14.48,NA,14.5,14.5,NA,14.45,14.48,NA
28.11.1988,14.58,14.55,NA,15,14.55,NA,14.9,14.55,NA
29.11.1988,13.95,14.48,NA,14.25,14.48,NA,14.17,14.48,NA
30.11.1988,14.05,14.04,NA,14.06,14.04,NA,14.04,14.04,NA
01.12.1988,14.49,14.28,NA,14.59,14.28,NA,14.39,14.28,NA
02.12.1988,14.5,14.35,NA,14.52,14.35,NA,14.33,14.35,NA
05.12.1988,14.34,13.98,NA,14.45,14.27,NA,14.27,13.98,NA
06.12.1988,14.1,13.84,NA,14.2,13.9,NA,14.02,13.84,NA
07.12.1988,14.29,14.35,NA,14.38,14.35,NA,14.14,14.35,NA
08.12.1988,14.7,14.64,NA,14.75,14.64,NA,14.57,14.64,NA
09.12.1988,14.47,14.16,NA,14.52,14.16,NA,14.34,14.16,NA
12.12.1988,14.53,NA,NA,14.68,NA,NA,14.43,NA,NA
13.12.1988,14.53,NA,NA,14.72,NA,NA,14.54,NA,NA
14.12.1988,14.6,NA,NA,14.63,NA,NA,14.45,NA,NA
15.12.1988,14.75,NA,NA,15.02,NA,NA,14.77,NA,NA
16.12.1988,14.81,NA,NA,14.85,NA,NA,14.6,NA,NA
19.12.1988,14.67,NA,NA,14.93,NA,NA,14.62,NA,NA
20.12.1988,14.82,NA,NA,14.82,NA,NA,14.6,NA,NA
21.12.1988,14.96,NA,NA,15.08,NA,NA,14.9,NA,NA
22.12.1988,14.99,NA,NA,15.02,NA,NA,14.82,NA,NA
23.12.1988,15.08,NA,NA,15.1,NA,NA,14.85,NA,NA
28.12.1988,15.55,NA,NA,15.6,NA,NA,15.3,NA,NA
29.12.1988,15.3,NA,NA,15.5,NA,NA,15.18,NA,NA
30.12.1988,15.52,NA,NA,15.52,NA,NA,15.19,NA,NA
